,gym_id,pokemon_uid,last_scanned,deployment_time,cp_decayed
0,eef58c8b131e4e0b842611a1850e63dc.16,11387516250996232088,2018-02-21 05:30:10,2018-02-20 10:59:49,737
1,eef58c8b131e4e0b842611a1850e63dc.16,4170197431365336518,2018-02-21 05:30:10,2018-02-20 10:58:40,876
2,eef58c8b131e4e0b842611a1850e63dc.16,11348130256476146221,2018-02-21 05:30:10,2018-02-19 22:05:31,25
3,eef58c8b131e4e0b842611a1850e63dc.16,17038082653645994082,2018-02-21 05:30:10,2018-02-19 22:02:11,45
4,eef58c8b131e4e0b842611a1850e63dc.16,16448448306243748707,2018-02-21 05:30:10,2018-02-19 21:27:04,756
5,eef58c8b131e4e0b842611a1850e63dc.16,254849204195267124,2018-02-21 05:30:10,2018-02-19 21:26:43,811
6,40ac99e1bc6a420dbaf6722b2608dba5.16,16832629072282177934,2018-02-21 07:56:34,2018-02-21 07:52:16,702
7,828db0e5a523405987aa8d6c4c247e0d.16,15585776384061292729,2018-02-21 08:06:29,2018-02-21 00:24:16,623
8,e50a42dcb9084addbdcb9a50b2fdad09.16,17832237110090071152,2018-02-21 08:24:10,2018-02-20 15:08:22,477
9,e50a42dcb9084addbdcb9a50b2fdad09.16,9699142379512631689,2018-02-21 08:24:10,2018-02-20 10:56:31,578
10,e50a42dcb9084addbdcb9a50b2fdad09.16,257207466650699414,2018-02-21 08:24:10,2018-02-20 10:55:43,800
11,e50a42dcb9084addbdcb9a50b2fdad09.16,13681782272171725482,2018-02-21 08:24:10,2018-02-19 21:23:44,638
12,e50a42dcb9084addbdcb9a50b2fdad09.16,6404814912463324756,2018-02-21 08:24:10,2018-02-19 21:23:15,641
13,241618fc3fd847eab588c938b9b03f25.16,10149928270117180699,2018-02-21 09:09:45,2018-02-19 05:23:13,1154
14,241618fc3fd847eab588c938b9b03f25.16,7334888142298813572,2018-02-21 09:09:45,2018-02-19 05:21:44,659
15,241618fc3fd847eab588c938b9b03f25.16,13629657083860886088,2018-02-21 09:09:45,2018-02-19 03:17:50,571
16,241618fc3fd847eab588c938b9b03f25.16,5339519900789061515,2018-02-21 09:09:45,2018-02-19 03:12:35,866
17,241618fc3fd847eab588c938b9b03f25.16,18188310893132105145,2018-02-21 09:09:45,2018-02-19 00:34:41,1010
18,241618fc3fd847eab588c938b9b03f25.16,14435612697664970218,2018-02-21 09:09:45,2018-02-19 00:31:26,712
19,0471fd54e26349cbb805a9e7ff4772b8.16,11769514370428198557,2018-02-21 09:27:31,2018-02-21 08:21:00,1884
20,0471fd54e26349cbb805a9e7ff4772b8.16,4464430784612294731,2018-02-21 09:27:31,2018-02-21 08:20:40,1222
21,38f2d91409bd4d01a2eb458673dcefe9.16,11130930491787069036,2018-02-21 09:29:25,2018-02-21 03:27:58,1111
22,38f2d91409bd4d01a2eb458673dcefe9.16,12611301220023030586,2018-02-21 09:29:25,2018-02-21 03:01:06,763
23,38f2d91409bd4d01a2eb458673dcefe9.16,14353217133287288155,2018-02-21 09:29:25,2018-02-21 00:48:31,718
24,2339f669b7b14ea9800b9df89eb46694.16,17990405919574562285,2018-02-21 09:30:35,2018-02-21 04:35:27,1191
25,2339f669b7b14ea9800b9df89eb46694.16,3478202512100025569,2018-02-21 09:30:35,2018-02-21 04:35:06,1023
26,2339f669b7b14ea9800b9df89eb46694.16,4551830737194356055,2018-02-21 09:30:35,2018-02-21 04:35:02,1068
27,2339f669b7b14ea9800b9df89eb46694.16,12732075534202494728,2018-02-21 09:30:35,2018-02-21 03:22:07,1068
28,2339f669b7b14ea9800b9df89eb46694.16,3185246924978983908,2018-02-21 09:30:35,2018-02-21 01:15:03,1104
29,2339f669b7b14ea9800b9df89eb46694.16,3352497661613335446,2018-02-21 09:30:35,2018-02-21 01:14:56,645
