gym_id,pokemon_uid,last_scanned,deployment_time,cp_decayed
38f2d91409bd4d01a2eb458673dcefe9.16,18071007046208124082,"2018-02-20 15:49:33","2018-02-20 14:59:45",2731
1c440df2f085444caa360d06a63e49a0.16,8413441292204912495,"2018-02-20 15:54:52","2018-02-20 11:51:23",398
df179b66e3444d18ae16783a1c377acb.16,2185717787704940620,"2018-02-20 16:02:02","2018-02-20 12:53:45",2796
0c6793e0753d4a91b4c5b5918d8a743f.11,11786335562370370304,"2018-02-20 16:05:05","2018-02-20 16:04:33",739
0c6793e0753d4a91b4c5b5918d8a743f.11,3365660963298690155,"2018-02-20 16:05:05","2018-02-20 15:51:38",2265
0c6793e0753d4a91b4c5b5918d8a743f.11,1320483953666290908,"2018-02-20 16:05:05","2018-02-20 15:47:34",1707
0c6793e0753d4a91b4c5b5918d8a743f.11,12682618862621345469,"2018-02-20 16:05:05","2018-02-20 15:45:24",1741
0c6793e0753d4a91b4c5b5918d8a743f.11,4552656791219296176,"2018-02-20 16:05:05","2018-02-20 15:13:18",2780
0c6793e0753d4a91b4c5b5918d8a743f.11,10899382669542313365,"2018-02-20 16:05:05","2018-02-20 14:24:17",2736
a95b698c72ec494e86b2cb8ebdcbf0c5.16,12694194646360059716,"2018-02-20 16:11:35","2018-02-20 13:51:33",2276
33fc9aa44c844314a85d60df2a1194d8.16,5322522399565497918,"2018-02-20 16:11:36","2018-02-20 09:03:23",1164
828db0e5a523405987aa8d6c4c247e0d.16,11135666052727266226,"2018-02-20 16:14:35","2018-02-20 12:22:48",1658
828db0e5a523405987aa8d6c4c247e0d.16,13075607157690052731,"2018-02-20 16:14:35","2018-02-20 09:46:32",716
828db0e5a523405987aa8d6c4c247e0d.16,2628270968881992545,"2018-02-20 16:14:35","2018-02-20 01:27:10",1301
828db0e5a523405987aa8d6c4c247e0d.16,2602164632860466174,"2018-02-20 16:14:35","2018-02-20 01:26:07",882
0471fd54e26349cbb805a9e7ff4772b8.16,16513138308888929748,"2018-02-20 16:25:36","2018-02-20 16:23:58",2541
0471fd54e26349cbb805a9e7ff4772b8.16,13670139799081426864,"2018-02-20 16:25:36","2018-02-20 15:23:42",2647
0471fd54e26349cbb805a9e7ff4772b8.16,1344257539413908982,"2018-02-20 16:25:36","2018-02-20 12:29:02",1904
0471fd54e26349cbb805a9e7ff4772b8.16,13360246163766340417,"2018-02-20 16:25:36","2018-02-20 12:17:11",2273
0471fd54e26349cbb805a9e7ff4772b8.16,5746876009403085145,"2018-02-20 16:25:36","2018-02-20 10:35:26",1269
0471fd54e26349cbb805a9e7ff4772b8.16,7119565742936918883,"2018-02-20 16:25:36","2018-02-20 10:26:42",1305
adcc7f12b03445a9b3e10a01ca7e4ded.16,6135890651392362049,"2018-02-20 16:32:40","2018-02-20 14:28:07",715
adcc7f12b03445a9b3e10a01ca7e4ded.16,15621009965640462297,"2018-02-20 16:32:40","2018-02-20 14:26:49",2030
4175c939c96a46d8b326d7634292a226.16,7112512086770861130,"2018-02-20 16:36:52","2018-02-20 16:36:14",836
4175c939c96a46d8b326d7634292a226.16,8571789999269852810,"2018-02-20 16:36:52","2018-02-20 16:13:48",2889
4175c939c96a46d8b326d7634292a226.16,3950768283105809058,"2018-02-20 16:36:52","2018-02-20 15:58:02",2767
4175c939c96a46d8b326d7634292a226.16,15808684087894229942,"2018-02-20 16:36:52","2018-02-20 15:55:55",3055
52ac1cf211b24288addcde1a5f60897c.16,17825351071344304885,"2018-02-20 16:36:52","2018-02-20 16:28:28",143
52ac1cf211b24288addcde1a5f60897c.16,3753663929102618846,"2018-02-20 16:36:52","2018-02-20 16:24:32",3208
52ac1cf211b24288addcde1a5f60897c.16,14880239158572389113,"2018-02-20 16:36:52","2018-02-20 16:02:16",3093
52ac1cf211b24288addcde1a5f60897c.16,5121326281676418659,"2018-02-20 16:36:52","2018-02-20 16:01:43",1803
52ac1cf211b24288addcde1a5f60897c.16,4095929062808468180,"2018-02-20 16:36:52","2018-02-20 15:08:10",2186
1082da773a3f4d30b5de4ded03d55422.16,8207450819816328841,"2018-02-20 16:48:17","2018-02-20 11:24:53",1057
49096f45a26e4e53938248cf6c37ad03.16,8063207644481820743,"2018-02-20 16:58:13","2018-02-17 17:46:40",94
49096f45a26e4e53938248cf6c37ad03.16,914047035352996685,"2018-02-20 16:58:13","2018-02-17 15:13:40",640
49096f45a26e4e53938248cf6c37ad03.16,13022726839755767903,"2018-02-20 16:58:13","2018-02-15 22:26:00",2549
49096f45a26e4e53938248cf6c37ad03.16,11342012203537258079,"2018-02-20 16:58:13","2018-02-15 02:55:59",476
49096f45a26e4e53938248cf6c37ad03.16,2763551318610005229,"2018-02-20 16:58:13","2018-02-15 01:04:38",5
49096f45a26e4e53938248cf6c37ad03.16,13213894023299197375,"2018-02-20 16:58:13","2018-02-15 00:22:58",607
2c36739bd6be4effb2d28dcf1da246cc.16,625978523932724857,"2018-02-20 16:59:13","2018-02-20 16:58:49",1459
2c36739bd6be4effb2d28dcf1da246cc.16,14340174789194133427,"2018-02-20 16:59:13","2018-02-20 16:57:50",2870
2c36739bd6be4effb2d28dcf1da246cc.16,1052712006680307437,"2018-02-20 16:59:13","2018-02-20 16:39:55",2863
241618fc3fd847eab588c938b9b03f25.16,10149928270117180699,"2018-02-20 17:02:05","2018-02-19 05:23:12",1412
241618fc3fd847eab588c938b9b03f25.16,7334888142298813572,"2018-02-20 17:02:05","2018-02-19 05:21:43",2694
241618fc3fd847eab588c938b9b03f25.16,13629657083860886088,"2018-02-20 17:02:05","2018-02-19 03:17:50",2338
241618fc3fd847eab588c938b9b03f25.16,5339519900789061515,"2018-02-20 17:02:05","2018-02-19 03:12:35",3542
241618fc3fd847eab588c938b9b03f25.16,18188310893132105145,"2018-02-20 17:02:05","2018-02-19 00:34:40",1047
241618fc3fd847eab588c938b9b03f25.16,14435612697664970218,"2018-02-20 17:02:05","2018-02-19 00:31:25",2915
3e7231af60ba4ba29a675c055406b46b.16,16833050397756109401,"2018-02-20 17:03:38","2018-02-20 17:02:22",2411
3e7231af60ba4ba29a675c055406b46b.16,5567990211403380636,"2018-02-20 17:03:38","2018-02-20 17:02:20",3033
eef58c8b131e4e0b842611a1850e63dc.16,11387516250996232088,"2018-02-20 17:04:30","2018-02-20 10:59:49",2760
eef58c8b131e4e0b842611a1850e63dc.16,4170197431365336518,"2018-02-20 17:04:30","2018-02-20 10:58:40",2814
eef58c8b131e4e0b842611a1850e63dc.16,11348130256476146221,"2018-02-20 17:04:30","2018-02-19 22:05:31",28
eef58c8b131e4e0b842611a1850e63dc.16,17038082653645994082,"2018-02-20 17:04:30","2018-02-19 22:02:11",49
eef58c8b131e4e0b842611a1850e63dc.16,16448448306243748707,"2018-02-20 17:04:30","2018-02-19 21:27:05",1153
eef58c8b131e4e0b842611a1850e63dc.16,254849204195267124,"2018-02-20 17:04:30","2018-02-19 21:26:43",3192
e50a42dcb9084addbdcb9a50b2fdad09.16,17832237110090071152,"2018-02-20 17:04:30","2018-02-20 15:08:26",1824
e50a42dcb9084addbdcb9a50b2fdad09.16,9699142379512631689,"2018-02-20 17:04:30","2018-02-20 10:56:34",2889
e50a42dcb9084addbdcb9a50b2fdad09.16,257207466650699414,"2018-02-20 17:04:30","2018-02-20 10:55:46",3997
e50a42dcb9084addbdcb9a50b2fdad09.16,13681782272171725482,"2018-02-20 17:04:30","2018-02-19 21:23:47",3189
e50a42dcb9084addbdcb9a50b2fdad09.16,6404814912463324756,"2018-02-20 17:04:30","2018-02-19 21:23:19",2758
2f60c7bc597643e08041dabecc4a16a2.16,8307068021281303290,"2018-02-20 17:05:48","2018-02-20 16:42:03",1831
2f60c7bc597643e08041dabecc4a16a2.16,13624785169457492959,"2018-02-20 17:05:48","2018-02-20 16:40:44",2719
2f60c7bc597643e08041dabecc4a16a2.16,10164107892920587770,"2018-02-20 17:05:48","2018-02-20 16:40:36",2674
940fb99da7db4023bcbe9d98b2ff98cd.16,17632021164012543977,"2018-02-20 17:06:37","2018-02-20 04:20:31",478
940fb99da7db4023bcbe9d98b2ff98cd.16,5149114524759377849,"2018-02-20 17:06:37","2018-02-20 04:19:28",592
940fb99da7db4023bcbe9d98b2ff98cd.16,4807605679645011494,"2018-02-20 17:06:37","2018-02-19 23:44:40",691
940fb99da7db4023bcbe9d98b2ff98cd.16,8500165661247676086,"2018-02-20 17:06:37","2018-02-19 22:11:03",628
940fb99da7db4023bcbe9d98b2ff98cd.16,14603227134063890516,"2018-02-20 17:06:37","2018-02-19 22:11:02",594
940fb99da7db4023bcbe9d98b2ff98cd.16,2587561328168165034,"2018-02-20 17:06:37","2018-02-19 22:11:01",702
2339f669b7b14ea9800b9df89eb46694.16,3994372191461140507,"2018-02-20 17:14:57","2018-02-20 17:05:36",1621
2339f669b7b14ea9800b9df89eb46694.16,16354635412948718138,"2018-02-20 17:14:57","2018-02-20 16:41:46",2843
2339f669b7b14ea9800b9df89eb46694.16,1376322223228079199,"2018-02-20 17:14:57","2018-02-20 16:24:23",2217
8c2b38834cab46829b30c374a653eddc.16,10896377123218219318,"2018-02-20 17:15:40","2018-02-20 15:54:08",1328
8c2b38834cab46829b30c374a653eddc.16,17651519287627564310,"2018-02-20 17:15:40","2018-02-20 15:52:22",1973
8c2b38834cab46829b30c374a653eddc.16,11217703552430095474,"2018-02-20 17:15:40","2018-02-20 15:52:01",1878
8c2b38834cab46829b30c374a653eddc.16,11032165850772957807,"2018-02-20 17:15:40","2018-02-20 13:09:29",1809
8c2b38834cab46829b30c374a653eddc.16,927458319278876890,"2018-02-20 17:15:40","2018-02-20 11:23:52",1213
8c2b38834cab46829b30c374a653eddc.16,3001613488011351129,"2018-02-20 17:15:40","2018-02-20 05:06:40",541
56655857450a468ca7875eb35ac86ee2.16,4229741579844471254,"2018-02-20 17:17:23","2018-02-20 17:17:15",2694
56655857450a468ca7875eb35ac86ee2.16,16336116833595910438,"2018-02-20 17:17:23","2018-02-20 16:42:59",2787
2ec6849344d94a348d35933db85fccc9.16,11987085178519027564,"2018-02-20 17:18:06","2018-02-20 17:16:54",452
2ec6849344d94a348d35933db85fccc9.16,13390179003589529426,"2018-02-20 17:18:06","2018-02-20 12:25:02",2190
2ec6849344d94a348d35933db85fccc9.16,11247453032637428156,"2018-02-20 17:18:06","2018-02-20 11:46:09",1667
2ec6849344d94a348d35933db85fccc9.16,6010802764919475529,"2018-02-20 17:18:06","2018-02-20 09:50:10",2327
52732cd64bf04752b8fee93c3b7e5a13.16,5300620740821455057,"2018-02-20 17:18:50","2018-02-20 12:01:14",1171
52732cd64bf04752b8fee93c3b7e5a13.16,14614431459139810679,"2018-02-20 17:18:50","2018-02-20 02:02:51",1270
52732cd64bf04752b8fee93c3b7e5a13.16,832597490358374342,"2018-02-20 17:18:50","2018-02-20 02:01:02",1376
52732cd64bf04752b8fee93c3b7e5a13.16,2951944512999430694,"2018-02-20 17:18:50","2018-02-20 00:03:11",1337
52732cd64bf04752b8fee93c3b7e5a13.16,15233663059255503353,"2018-02-20 17:18:50","2018-02-20 00:02:29",1309
60e877cc2e2147b4be49f6e12478df3c.16,5331199246194407744,"2018-02-20 17:22:28","2018-02-20 17:21:42",1103
d7c4c6813ad5494d823bba29bc3bae80.16,278257459558036986,"2018-02-20 17:23:26","2018-02-20 14:49:44",1885
d7c4c6813ad5494d823bba29bc3bae80.16,7964920833886290538,"2018-02-20 17:23:26","2018-02-20 04:02:53",1231
d7c4c6813ad5494d823bba29bc3bae80.16,10813809774048564626,"2018-02-20 17:23:26","2018-02-20 03:27:38",934
d7c4c6813ad5494d823bba29bc3bae80.16,1782856235177915933,"2018-02-20 17:23:26","2018-02-19 23:31:27",1167
cbad102126ca4a88aa7f9aa5bec84cbb.16,13645767370535041395,"2018-02-20 17:24:00","2018-02-20 17:09:25",1622
cbad102126ca4a88aa7f9aa5bec84cbb.16,2752037285836452296,"2018-02-20 17:24:00","2018-02-20 14:39:32",1464
cbad102126ca4a88aa7f9aa5bec84cbb.16,8021440559603799409,"2018-02-20 17:24:00","2018-02-20 13:12:52",1956
