,gym_id,pokemon_uid,last_scanned,deployment_time,cp_decayed
0,eef58c8b131e4e0b842611a1850e63dc.16,11387516250996232088,2018-02-21 05:30:10,2018-02-20 10:59:49,737
1,eef58c8b131e4e0b842611a1850e63dc.16,4170197431365336518,2018-02-21 05:30:10,2018-02-20 10:58:40,876
2,eef58c8b131e4e0b842611a1850e63dc.16,11348130256476146221,2018-02-21 05:30:10,2018-02-19 22:05:31,25
3,eef58c8b131e4e0b842611a1850e63dc.16,17038082653645994082,2018-02-21 05:30:10,2018-02-19 22:02:11,45
4,eef58c8b131e4e0b842611a1850e63dc.16,16448448306243748707,2018-02-21 05:30:10,2018-02-19 21:27:04,756
5,eef58c8b131e4e0b842611a1850e63dc.16,254849204195267124,2018-02-21 05:30:10,2018-02-19 21:26:43,811
6,40ac99e1bc6a420dbaf6722b2608dba5.16,16832629072282177934,2018-02-21 07:56:34,2018-02-21 07:52:16,702
7,e50a42dcb9084addbdcb9a50b2fdad09.16,17832237110090071152,2018-02-21 08:24:10,2018-02-20 15:08:22,477
8,e50a42dcb9084addbdcb9a50b2fdad09.16,9699142379512631689,2018-02-21 08:24:10,2018-02-20 10:56:31,578
9,e50a42dcb9084addbdcb9a50b2fdad09.16,257207466650699414,2018-02-21 08:24:10,2018-02-20 10:55:43,800
10,e50a42dcb9084addbdcb9a50b2fdad09.16,13681782272171725482,2018-02-21 08:24:10,2018-02-19 21:23:44,638
11,e50a42dcb9084addbdcb9a50b2fdad09.16,6404814912463324756,2018-02-21 08:24:10,2018-02-19 21:23:15,641
12,0c6793e0753d4a91b4c5b5918d8a743f.11,9686465067843501283,2018-02-21 10:08:24,2018-02-21 03:14:13,3022
13,0c6793e0753d4a91b4c5b5918d8a743f.11,2493441331896439469,2018-02-21 10:08:24,2018-02-21 03:13:12,2826
14,52732cd64bf04752b8fee93c3b7e5a13.16,7944136630031106382,2018-02-21 10:21:27,2018-02-21 00:12:49,537
15,52732cd64bf04752b8fee93c3b7e5a13.16,5300620740821455057,2018-02-21 10:21:27,2018-02-20 12:01:14,403
16,52732cd64bf04752b8fee93c3b7e5a13.16,14614431459139810679,2018-02-21 10:21:27,2018-02-20 02:02:51,538
17,52732cd64bf04752b8fee93c3b7e5a13.16,832597490358374342,2018-02-21 10:21:27,2018-02-20 02:01:01,584
18,52732cd64bf04752b8fee93c3b7e5a13.16,2951944512999430694,2018-02-21 10:21:27,2018-02-20 00:03:10,392
19,940fb99da7db4023bcbe9d98b2ff98cd.16,9558899561953993668,2018-02-21 10:39:22,2018-02-21 02:57:12,2409
20,940fb99da7db4023bcbe9d98b2ff98cd.16,9535184173024074154,2018-02-21 10:39:22,2018-02-21 02:57:12,3037
21,940fb99da7db4023bcbe9d98b2ff98cd.16,13445117967628872862,2018-02-21 10:39:22,2018-02-20 22:29:56,2145
22,940fb99da7db4023bcbe9d98b2ff98cd.16,3910639530264531189,2018-02-21 10:39:22,2018-02-20 21:31:11,3069
23,940fb99da7db4023bcbe9d98b2ff98cd.16,16736699337121393135,2018-02-21 10:39:22,2018-02-20 21:31:11,3166
24,940fb99da7db4023bcbe9d98b2ff98cd.16,13093238960777441941,2018-02-21 10:39:22,2018-02-20 21:31:11,2837
25,cbad102126ca4a88aa7f9aa5bec84cbb.16,12348936361387368838,2018-02-21 10:47:59,2018-02-21 10:43:32,2066
26,cbad102126ca4a88aa7f9aa5bec84cbb.16,2437449244758185607,2018-02-21 10:47:59,2018-02-21 08:15:43,943
27,fa2de6cfbf9848c3a10469df48636f4d.16,1651412966062052387,2018-02-21 10:53:58,2018-02-20 22:25:49,530
28,fa2de6cfbf9848c3a10469df48636f4d.16,17216980289276341858,2018-02-21 10:53:58,2018-02-20 22:24:45,479
29,0fb1453c310f4595a7e79368dc0da069.16,14422494344503752785,2018-02-21 11:00:48,2018-02-21 03:50:14,1101
