,gym_id,pokemon_uid,last_scanned,deployment_time,cp_decayed
49,3e7231af60ba4ba29a675c055406b46b.16,614057178584591496,2018-02-21 00:02:00,2018-02-20 21:00:05,2750
50,3e7231af60ba4ba29a675c055406b46b.16,3618657964938240586,2018-02-21 00:02:00,2018-02-20 20:53:17,2449
51,3e7231af60ba4ba29a675c055406b46b.16,9338061799905746381,2018-02-21 00:02:00,2018-02-20 20:51:42,2754
52,3e7231af60ba4ba29a675c055406b46b.16,2153265164287205503,2018-02-21 00:02:00,2018-02-20 20:47:09,2725
53,0fb1453c310f4595a7e79368dc0da069.16,15444358581444050225,2018-02-21 00:11:53,2018-02-21 00:10:19,3078
54,0fb1453c310f4595a7e79368dc0da069.16,5234736918993500569,2018-02-21 00:11:53,2018-02-20 22:19:03,2274
55,0fb1453c310f4595a7e79368dc0da069.16,11212706959685864628,2018-02-21 00:11:53,2018-02-20 22:18:11,2279
56,52732cd64bf04752b8fee93c3b7e5a13.16,7944136630031106382,2018-02-21 00:17:19,2018-02-21 00:12:49,2666
57,52732cd64bf04752b8fee93c3b7e5a13.16,5300620740821455057,2018-02-21 00:17:19,2018-02-20 12:01:13,1242
58,52732cd64bf04752b8fee93c3b7e5a13.16,14614431459139810679,2018-02-21 00:17:19,2018-02-20 02:02:51,679
59,52732cd64bf04752b8fee93c3b7e5a13.16,832597490358374342,2018-02-21 00:17:19,2018-02-20 02:01:01,1490
60,52732cd64bf04752b8fee93c3b7e5a13.16,2951944512999430694,2018-02-21 00:17:19,2018-02-20 00:03:10,1010
61,52732cd64bf04752b8fee93c3b7e5a13.16,15233663059255503353,2018-02-21 00:17:19,2018-02-20 00:02:28,1113
62,33fc9aa44c844314a85d60df2a1194d8.16,4696585075928793102,2018-02-21 00:19:49,2018-02-21 00:13:34,3284
63,33fc9aa44c844314a85d60df2a1194d8.16,5706499208312643053,2018-02-21 00:19:49,2018-02-20 22:25:44,2163
64,33fc9aa44c844314a85d60df2a1194d8.16,5322522399565497918,2018-02-21 00:19:49,2018-02-20 09:03:23,1101
65,828db0e5a523405987aa8d6c4c247e0d.16,15585776384061292729,2018-02-21 00:25:14,2018-02-21 00:24:16,2859
66,241618fc3fd847eab588c938b9b03f25.16,10149928270117180699,2018-02-21 00:31:04,2018-02-19 05:23:12,2046
