,gym_id,pokemon_uid,last_scanned,deployment_time,cp_decayed
0,bdb5cf52a8644857844ac5af7e6e1ffc.16,5333099302931896515,2018-02-20 14:55:10,2018-02-20 10:49:08,1429
1,bdb5cf52a8644857844ac5af7e6e1ffc.16,10555465999621796612,2018-02-20 14:55:10,2018-02-20 10:45:28,104
2,33fc9aa44c844314a85d60df2a1194d8.16,5322522399565497918,2018-02-20 18:17:07,2018-02-20 09:03:23,1099
3,1c440df2f085444caa360d06a63e49a0.16,8413441292204912495,2018-02-20 18:51:24,2018-02-20 11:51:23,387
4,a418d8928bc942658c287c47a125adcf.16,15169336596340386938,2018-02-20 19:09:00,2018-02-20 19:07:51,1983
5,a418d8928bc942658c287c47a125adcf.16,10403193068452619074,2018-02-20 19:09:00,2018-02-20 12:18:48,948
6,a418d8928bc942658c287c47a125adcf.16,15907984216666363221,2018-02-20 19:09:00,2018-02-20 09:44:34,695
7,a418d8928bc942658c287c47a125adcf.16,10861002096599313792,2018-02-20 19:09:00,2018-02-20 01:22:17,712
8,a418d8928bc942658c287c47a125adcf.16,11830468255883823460,2018-02-20 19:09:00,2018-02-20 01:22:13,1130
9,df179b66e3444d18ae16783a1c377acb.16,11574297673100573357,2018-02-20 19:26:04,2018-02-20 17:45:11,693
10,df179b66e3444d18ae16783a1c377acb.16,11641611575111177468,2018-02-20 19:26:04,2018-02-20 17:28:55,1710
11,df179b66e3444d18ae16783a1c377acb.16,2185717787704940620,2018-02-20 19:26:04,2018-02-20 12:53:45,1761
12,2ec6849344d94a348d35933db85fccc9.16,4258051931207679773,2018-02-20 20:19:40,2018-02-20 20:17:30,167
13,2ec6849344d94a348d35933db85fccc9.16,10446475615028404168,2018-02-20 20:19:40,2018-02-20 20:16:54,686
14,2ec6849344d94a348d35933db85fccc9.16,11987085178519027564,2018-02-20 20:19:40,2018-02-20 17:16:54,431
15,2ec6849344d94a348d35933db85fccc9.16,13390179003589529426,2018-02-20 20:19:40,2018-02-20 12:25:02,2001
16,2ec6849344d94a348d35933db85fccc9.16,11247453032637428156,2018-02-20 20:19:40,2018-02-20 11:46:09,1651
17,2ec6849344d94a348d35933db85fccc9.16,6010802764919475529,2018-02-20 20:19:40,2018-02-20 09:50:10,2181
18,255644e5b50a42eca13c77250436029f.16,5667651170776283576,2018-02-20 20:38:06,2018-02-20 18:02:06,2087
19,828db0e5a523405987aa8d6c4c247e0d.16,1152692655852007353,2018-02-20 20:39:39,2018-02-20 19:06:25,1770
20,828db0e5a523405987aa8d6c4c247e0d.16,11135666052727266226,2018-02-20 20:39:39,2018-02-20 12:22:48,824
21,828db0e5a523405987aa8d6c4c247e0d.16,13075607157690052731,2018-02-20 20:39:39,2018-02-20 09:46:32,676
22,828db0e5a523405987aa8d6c4c247e0d.16,2628270968881992545,2018-02-20 20:39:39,2018-02-20 01:27:10,636
23,828db0e5a523405987aa8d6c4c247e0d.16,2602164632860466174,2018-02-20 20:39:39,2018-02-20 01:26:07,821
24,2339f669b7b14ea9800b9df89eb46694.16,17365813973897892415,2018-02-20 20:40:22,2018-02-20 19:58:09,120
25,2339f669b7b14ea9800b9df89eb46694.16,2893513788605538871,2018-02-20 20:40:22,2018-02-20 19:18:47,2922
26,2339f669b7b14ea9800b9df89eb46694.16,10078163188009297942,2018-02-20 20:40:22,2018-02-20 18:32:06,3041
27,2339f669b7b14ea9800b9df89eb46694.16,3994372191461140507,2018-02-20 20:40:22,2018-02-20 17:05:36,1620
28,2339f669b7b14ea9800b9df89eb46694.16,16354635412948718138,2018-02-20 20:40:22,2018-02-20 16:41:47,2839
29,2339f669b7b14ea9800b9df89eb46694.16,1376322223228079199,2018-02-20 20:40:22,2018-02-20 16:24:23,2085
30,52732cd64bf04752b8fee93c3b7e5a13.16,5300620740821455057,2018-02-20 20:47:38,2018-02-20 12:01:14,1112
31,52732cd64bf04752b8fee93c3b7e5a13.16,14614431459139810679,2018-02-20 20:47:38,2018-02-20 02:02:51,793
32,52732cd64bf04752b8fee93c3b7e5a13.16,832597490358374342,2018-02-20 20:47:38,2018-02-20 02:01:01,1008
33,52732cd64bf04752b8fee93c3b7e5a13.16,2951944512999430694,2018-02-20 20:47:38,2018-02-20 00:03:10,1240
34,52732cd64bf04752b8fee93c3b7e5a13.16,15233663059255503353,2018-02-20 20:47:38,2018-02-20 00:02:29,1247
35,3e7231af60ba4ba29a675c055406b46b.16,11697915889250238723,2018-02-20 21:12:21,2018-02-20 21:11:57,3973
36,3e7231af60ba4ba29a675c055406b46b.16,6608038851669192291,2018-02-20 21:12:21,2018-02-20 21:07:38,2293
37,3e7231af60ba4ba29a675c055406b46b.16,614057178584591496,2018-02-20 21:12:21,2018-02-20 21:00:05,2792
38,3e7231af60ba4ba29a675c055406b46b.16,3618657964938240586,2018-02-20 21:12:21,2018-02-20 20:53:18,2526
39,3e7231af60ba4ba29a675c055406b46b.16,9338061799905746381,2018-02-20 21:12:21,2018-02-20 20:51:43,2839
40,3e7231af60ba4ba29a675c055406b46b.16,2153265164287205503,2018-02-20 21:12:21,2018-02-20 20:47:10,2810
41,2f60c7bc597643e08041dabecc4a16a2.16,5903286715366396304,2018-02-20 21:17:38,2018-02-20 18:11:40,78
42,2f60c7bc597643e08041dabecc4a16a2.16,4548934365248791140,2018-02-20 21:17:38,2018-02-20 18:01:34,3123
43,2f60c7bc597643e08041dabecc4a16a2.16,15695965788234183504,2018-02-20 21:17:38,2018-02-20 17:47:38,1412
44,2f60c7bc597643e08041dabecc4a16a2.16,8307068021281303290,2018-02-20 21:17:38,2018-02-20 16:42:03,1866
45,2f60c7bc597643e08041dabecc4a16a2.16,13624785169457492959,2018-02-20 21:17:38,2018-02-20 16:40:44,2835
46,2f60c7bc597643e08041dabecc4a16a2.16,10164107892920587770,2018-02-20 21:17:38,2018-02-20 16:40:37,2724
47,60e877cc2e2147b4be49f6e12478df3c.16,6486975145598499058,2018-02-20 21:22:33,2018-02-20 21:21:37,2152
48,60e877cc2e2147b4be49f6e12478df3c.16,896534067791554216,2018-02-20 21:22:33,2018-02-20 21:13:03,3238
49,60e877cc2e2147b4be49f6e12478df3c.16,9280563519937834277,2018-02-20 21:22:33,2018-02-20 20:33:48,810
50,60e877cc2e2147b4be49f6e12478df3c.16,7599397430955228795,2018-02-20 21:22:33,2018-02-20 20:22:06,2449
51,60e877cc2e2147b4be49f6e12478df3c.16,9280174001953288467,2018-02-20 21:22:33,2018-02-20 20:19:53,2686
52,60e877cc2e2147b4be49f6e12478df3c.16,16184914487856038194,2018-02-20 21:22:33,2018-02-20 20:05:36,2272
53,d7c4c6813ad5494d823bba29bc3bae80.16,13053425909915786450,2018-02-20 21:28:04,2018-02-20 19:22:21,804
54,8c2b38834cab46829b30c374a653eddc.16,10896377123218219318,2018-02-20 21:29:22,2018-02-20 15:54:08,1184
55,8c2b38834cab46829b30c374a653eddc.16,17651519287627564310,2018-02-20 21:29:22,2018-02-20 15:52:22,1346
56,8c2b38834cab46829b30c374a653eddc.16,11217703552430095474,2018-02-20 21:29:22,2018-02-20 15:52:02,1281
57,8c2b38834cab46829b30c374a653eddc.16,11032165850772957807,2018-02-20 21:29:22,2018-02-20 13:09:29,2969
58,8c2b38834cab46829b30c374a653eddc.16,927458319278876890,2018-02-20 21:29:22,2018-02-20 11:23:52,2551
